monthly_food,monthly_transportation,monthly_liabilities,monthly_electric_bill,monthly_water_bill,monthly_income,total_expense,financial_health_score
4657.1,1863.0,2010.6,866.9,223.2,12936.3,9620.800000000001,6.170541863871431
3054.8,1236.9,4141.1,1140.5,1431.6,20313.4,11004.900000000001,6.536345683086042
4619.7,1893.3,3915.7,1338.7,794.4,26583.2,12561.800000000001,6.761772553763279
2478.8,1151.2,4102.7,1010.9,1450.9,18383.0,10194.5,6.753844495348963
2740.7,1600.8,4760.6,885.1,255.6,12141.3,10242.800000000001,6.442772991162395
2396.7,757.6,3275.1,1291.9,888.2,25279.3,8609.5,8.229875247692778
4859.8,1285.2,4557.1,662.8,643.0,22136.9,12007.9,6.948943565124294
4572.4,1837.5,2962.0,1965.2,774.1,22692.8,12111.2,5.922194056264542
4255.6,859.9,3691.8,1348.0,684.8,26350.9,10840.099999999999,7.467627680747147
1942.5,575.8,3136.1,1508.1,1333.4,21488.7,8495.9,7.686564457123977
1011.8,1356.1,3543.2,1493.8,1224.3,29127.2,8629.199999999999,8.407750368480322
4160.3,706.2,4230.8,1784.4,1219.4,19443.7,12101.099999999999,5.299764148572546
4728.5,1582.0,4743.6,1363.9,415.8,15964.2,12833.8,4.886531154433044
4111.9,948.2,4954.2,1820.6,1307.8,13322.4,13142.699999999999,2.2652215451270052
3427.0,1586.6,3672.5,1400.0,920.5,29208.6,11006.6,7.623451503392838
3162.7,841.8,3099.6,1388.2,1010.9,19841.3,9503.2,7.127779899018712
3785.0,1780.4,4143.5,559.5,877.4,21046.6,11145.8,7.197503810116598
4403.5,862.7,4788.0,543.5,439.9,28634.3,11037.6,8.165539570375389
3632.5,1430.2,2535.5,1796.8,1350.9,21376.9,10745.9,6.213280344437221
2599.3,657.7,2095.3,1308.6,1269.4,10731.6,7930.299999999999,5.720261333426516
3271.6,965.4,3907.8,1177.7,1038.9,17900.6,10361.4,6.590632515915668
4438.8,625.6,4971.2,814.0,982.3,26800.6,11831.9,7.376243969112632
4833.2,956.4,3613.8,874.9,1380.1,11877.3,11658.4,3.2679579088176602
2193.0,656.8,2230.4,1257.3,377.2,28152.8,6714.700000000001,9.01185140293683
1094.9,587.6,2534.8,1830.1,1358.2,21110.6,7405.599999999999,7.95888591786117
4003.9,1612.7,1342.9,1470.2,1271.0,12073.0,9700.7,4.290799373196387
